JD,Magnitude,Uncertainty,HQuncertainty,Band,Observer Code,Comment Code(s),Comp Star 1,Comp Star 2,Charts,Comments,Transfomed,Airmass,Validation Flag,Cmag,Kmag,HJD,Star Name,Observer Affiliation,Measurement Method,Grouping Method,ADS Reference,Digitizer,Credit
2440966.6,11.2,,,Vis.,LX,,,,,,,,V,,,,RU AND,,STD,,,,
2440969.6,10.9,,,Vis.,MUR,,,,,,,,V,,,,RU AND,,STD,,,,
2440975.6,10.9,,,Vis.,FD,,,,,,,,V,,,,RU AND,,STD,,,,
2440975.6,11.1,,,Vis.,GSR,,,,,,,,V,,,,RU AND,,STD,,,,
2440975.6,10.8,,,Vis.,HZL,,,,,,,,V,,,,RU AND,,STD,,,,
2440975.7,10.8,,,Vis.,MYR,,,,,,,,V,,,,RU AND,,STD,,,,
2440975.73,11.1,,,Vis.,WFQ,,,,,,,,V,,,,RU AND,,STD,,,,
2440976.6,11.1,,,Vis.,CCR,,,,,,,,V,,,,RU AND,,STD,,,,
2440980.6,11.2,,,Vis.,LX,,,,,,,,V,,,,RU AND,,STD,,,,
2440985.3,11.0,,,Vis.,MRX,,,,,,,,V,,,,RU AND,AFOEV,STD,,,,
2440987.7,11.2,,,Vis.,CR,,,,,,,,V,,,,RU AND,,STD,,,,
2440997.6,11.5,,,Vis.,CCR,,,,,,,,V,,,,RU AND,,STD,,,,
2441011.6,11.6,,,Vis.,LS,,,,,,,,V,,,,RU AND,,STD,,,,
2441015.6,11.2,,,Vis.,MYR,,,,,,,,V,,,,RU AND,,STD,,,,
2441020.6,11.6,,,Vis.,LX,,,,,,,,V,,,,RU AND,,STD,,,,
2441023.6,11.5,,,Vis.,CCR,,,,,,,,V,,,,RU AND,,STD,,,,
2441032.5,11.9,,,Vis.,LX,,,,,,,,V,,,,RU AND,,STD,,,,
2441160.8,12.4,,,Vis.,FD,,,,,,,,V,,,,RU AND,,STD,,,,
2441191.8,11.0,,,Vis.,WSN,,,,,,,,V,,,,RU AND,,STD,,,,
2441192.9,11.3,,,Vis.,HK,,,,,,,,V,,,,RU AND,,STD,,,,
2441209.7,10.6,,,Vis.,CR,,,,,,,,V,,,,RU AND,,STD,,,,
2441215.8,11.4,,,Vis.,HR,,,,,,,,V,,,,RU AND,,STD,,,,
2441216.6,11.2,,,Vis.,AD,,,,,,,,V,,,,RU AND,,STD,,,,
2441219.6,10.7,,,Vis.,LS,,,,,,,,V,,,,RU AND,,STD,,,,
2441223.9,11.2,,,Vis.,AD,,,,,,,,V,,,,RU AND,,STD,,,,
2441239.6,11.4,,,Vis.,AD,,,,,,,,V,,,,RU AND,,STD,,,,
2441244.7,11.5,,,Vis.,HR,,,,,,,,V,,,,RU AND,,STD,,,,
2441244.7,11.5,,,Vis.,LNS,,,,,,,,V,,,,RU AND,,STD,,,,
2441245.6,11.4,,,Vis.,LS,,,,,,,,V,,,,RU AND,,STD,,,,
2441249.4,11.4,,,Vis.,OF,,,,,,,,V,,,,RU AND,,STD,,,,
2441250.7,11.6,,,Vis.,CR,,,,,,,,V,,,,RU AND,,STD,,,,
2441251.8,11.7,,,Vis.,WSN,,,,,,,,V,,,,RU AND,,STD,,,,
2441256.8,11.1,,,Vis.,LNS,,,,,,,,V,,,,RU AND,,STD,,,,
2441262.7,10.8,,,Vis.,MUR,,,,,,,,V,,,,RU AND,,STD,,,,
2441263.7,11.4,,,Vis.,HR,,,,,,,,V,,,,RU AND,,STD,,,,
2441267.5,11.5,,,Vis.,BJ,,,,,,,,V,,,,RU AND,,STD,,,,
2441269.7,11.4,,,Vis.,FD,,,,,,,,V,,,,RU AND,,STD,,,,
2441270.6,11.4,,,Vis.,AD,,,,,,,,V,,,,RU AND,,STD,,,,
2441271.7,11.2,,,Vis.,HK,,,,,,,,V,,,,RU AND,,STD,,,,
2441277.6,11.2,,,Vis.,MUR,,,,,,,,V,,,,RU AND,,STD,,,,
2441278.6,11.8,,,Vis.,HZL,,,,,,,,V,,,,RU AND,,STD,,,,
2441281.7,11.2,,,Vis.,WSN,,,,,,,,V,,,,RU AND,,STD,,,,
2441290.7,11.3,,,Vis.,HZL,,,,,,,,V,,,,RU AND,,STD,,,,
2441294.7,11.1,,,Vis.,AYT,,,,,,,,V,,,,RU AND,,STD,,,,
2441297.6,11.4,,,Vis.,HR,,,,,,,,V,,,,RU AND,,STD,,,,
2441299.6,11.5,,,Vis.,GSR,,,,,,,,V,,,,RU AND,,STD,,,,
2441299.6,11.2,,,Vis.,LS,,,,,,,,V,,,,RU AND,,STD,,,,
2441299.7,11.1,,,Vis.,LX,,,,,,,,V,,,,RU AND,,STD,,,,
2441302.7,11.1,,,Vis.,HK,,,,,,,,V,,,,RU AND,,STD,,,,
2441303.7,11.0,,,Vis.,VIS,,,,,,,,V,,,,RU AND,,STD,,,,
2441304.8,11.0,,,Vis.,FD,,,,,,,,V,,,,RU AND,,STD,,,,
2441307.7,10.8,,,Vis.,MUR,,,,,,,,V,,,,RU AND,,STD,,,,
2441308.4,11.1,,,Vis.,MRX,,,,,,,,V,,,,RU AND,AFOEV,STD,,,,
2441308.7,11.3,,,Vis.,LNS,,,,,,,,V,,,,RU AND,,STD,,,,
2441316.7,10.9,,,Vis.,VIS,,,,,,,,V,,,,RU AND,,STD,,,,
2441320.5,11.5,,,Vis.,AD,,,,,,,,V,,,,RU AND,,STD,,,,
2441321.6,11.3,,,Vis.,MUR,,,,,,,,V,,,,RU AND,,STD,,,,
2441322.4,11.2,,,Vis.,MRX,,,,,,,,V,,,,RU AND,AFOEV,STD,,,,
2441323.5,11.2,,,Vis.,LS,,,,,,,,V,,,,RU AND,,STD,,,,
2441323.6,11.1,,,Vis.,KLY,,,,,,,,V,,,,RU AND,,STD,,,,
2441323.6,11.3,,,Vis.,STO,,,,,,,,V,,,,RU AND,,STD,,,,
2441324.5,11.4,,,Vis.,POA,,,,,,,,V,,,,RU AND,,STD,,,,
2441324.6,11.2,,,Vis.,LNS,,,,,,,,V,,,,RU AND,,STD,,,,
2441325.5,11.2,,,Vis.,HZL,,,,,,,,V,,,,RU AND,,STD,,,,
2441325.6,11.5,,,Vis.,GSR,,,,,,,,V,,,,RU AND,,STD,,,,
2441325.6,11.0,,,Vis.,LX,,,,,,,,V,,,,RU AND,,STD,,,,
2441326.7,11.0,,,Vis.,AYT,,,,,,,,V,,,,RU AND,,STD,,,,
2441327.6,10.9,,,Vis.,MUR,,,,,,,,V,,,,RU AND,,STD,,,,
2441330.3,11.1,,,Vis.,HEE,,,,,,,,V,,,,RU AND,,STD,,,,
2441331.5,11.3,,,Vis.,BRJ,,,,,,,,V,,,,RU AND,,STD,,,,
2441333.5,11.5,,,Vis.,AD,,,,,,,,V,,,,RU AND,,STD,,,,
2441333.6,11.3,,,Vis.,FD,,,,,,,,V,,,,RU AND,,STD,,,,
2441334.6,11.2,,,Vis.,LX,,,,,,,,V,,,,RU AND,,STD,,,,
2441348.6,10.8,,,Vis.,MUR,,,,,,,,V,,,,RU AND,,STD,,,,
2441350.3,11.7,,,Vis.,MRX,,,,,,,,V,,,,RU AND,AFOEV,STD,,,,
2441355.5,11.3,,,Vis.,LS,,,,,,,,V,,,,RU AND,,STD,,,,
2441355.6,11.9,,,Vis.,AD,,,,,,,,V,,,,RU AND,,STD,,,,
2441355.6,11.8,,,Vis.,LX,,,,,,,,V,,,,RU AND,,STD,,,,
2441356.6,11.3,,,Vis.,KLY,,,,,,,,V,,,,RU AND,,STD,,,,
2441357.6,11.2,,,Vis.,MUR,,,,,,,,V,,,,RU AND,,STD,,,,
2441362.6,11.1,,,Vis.,GSR,,,,,,,,V,,,,RU AND,,STD,,,,
2441363.6,11.4,,,Vis.,MUR,,,,,,,,V,,,,RU AND,,STD,,,,
2441364.5,11.6,,,Vis.,BRJ,,,,,,,,V,,,,RU AND,,STD,,,,
2441365.3,11.8,,,Vis.,MYR,,,,,,,,V,,,,RU AND,,STD,,,,
2441365.6,11.8,,,Vis.,STO,,,,,,,,V,,,,RU AND,,STD,,,,
2441368.6,11.8,,,Vis.,WSN,,,,,,,,V,,,,RU AND,,STD,,,,
2441372.6,11.9,,,Vis.,MUR,,,,,,,,V,,,,RU AND,,STD,,,,
2441374.6,12.2,,,Vis.,CR,,,,,,,,V,,,,RU AND,,STD,,,,
2441380.6,11.5,,,Vis.,GSR,,,,,,,,V,,,,RU AND,,STD,,,,
2441380.6,12.2,,,Vis.,LS,,,,,,,,V,,,,RU AND,,STD,,,,
2441393.7,13.1,,,Vis.,CR,,,,,,,,V,,,,RU AND,,STD,,,,
2441509.9,11.8,,,Vis.,AD,,,,,,,,V,,,,RU AND,,STD,,,,
2441513.8,11.9,,,Vis.,WSN,,,,,,,,V,,,,RU AND,,STD,,,,
2441533.8,11.5,,,Vis.,SVN,,,,,,,,V,,,,RU AND,,STD,,,,
2441539.7,11.4,,,Vis.,VIS,,,,,,,,V,,,,RU AND,,STD,,,,
2441540.8,11.4,,,Vis.,HR,,,,,,,,V,,,,RU AND,,STD,,,,
2441541.8,11.3,,,Vis.,FD,,,,,,,,V,,,,RU AND,,STD,,,,
2441541.9,11.4,,,Vis.,BIL,,,,,,,,V,,,,RU AND,,STD,,,,
2441543.7,11.0,,,Vis.,SVN,,,,,,,,V,,,,RU AND,,STD,,,,
2441549.9,11.4,,,Vis.,HUB,,,,,,,,V,,,,RU AND,,STD,,,,
2441550.8,11.8,,,Vis.,AYT,,,,,,,,V,,,,RU AND,,STD,,,,
2441557.7,11.0,,,Vis.,SVN,,,,,,,,V,,,,RU AND,,STD,,,,
2441559.7,11.3,,,Vis.,VIS,,,,,,,,V,,,,RU AND,,STD,,,,
2441560.8,11.4,,,Vis.,WSN,,,,,,,,V,,,,RU AND,,STD,,,,
2441566.7,11.7,,,Vis.,HR,,,,,,,,V,,,,RU AND,,STD,,,,
2441569.6,11.1,,,Vis.,RQ,,,,,,,,V,,,,RU AND,,STD,,,,
2441569.8,11.5,,,Vis.,RNN,,,,,,,,V,,,,RU AND,,STD,,,,
2441570.7,11.1,,,Vis.,SVN,,,,,,,,V,,,,RU AND,,STD,,,,
2441574.8,11.5,,,Vis.,CR,,,,,,,,V,,,,RU AND,,STD,,,,
2441576.7,11.9,,,Vis.,FD,,,,,,,,V,,,,RU AND,,STD,,,,
